"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"250","Tyler Johnson","T.B","C","80","1275.8666666667","29","18","9","9","47","52.22","163","17.79","19.28","268","220","180","81","7","17","28","14","14","0","0","18","32","13","50","67","32","230","243","48.63"
"425","Andrew Shaw","MTL","R","63","1002.65","19","28","18","10","47","73.44","135","14.07","17.13","223","175","163","98","4","19","71","22","18","1","3","17","24","16","128","116","36","181","203","47.14"
"447","Brandon Saad","CHI","L","80","1415.0833333333","23","24","17","7","47","66.20","195","11.79","20.73","318","260","215","105","13","17","12","6","6","0","0","17","36","35","52","71","25","24","38","38.71"
"473","J.T. Miller","T.B","C","75","1099.8666666667","13","34","15","19","47","55.29","108","12.04","11.09","192","159","131","55","5","13","30","14","14","0","0","16","38","42","115","70","23","259","265","49.43"
"564","Josh Anderson","CBJ","R","82","1395.9333333333","27","20","10","10","47","58.02","230","11.74","22.7","383","305","222","98","17","16","60","27","25","2","0","18","19","46","214","101","40","12","26","31.58"
"640","Tyler Bertuzzi","DET","L","73","1205.6833333333","21","26","11","15","47","62.67","131","16.03","14.86","249","192","156","85","8","10","36","13","11","2","0","16","43","34","76","110","39","10","20","33.33"
"700","Jakub Vrana","WSH","L","82","1151.3","24","23","15","8","47","70.15","161","14.91","16.15","277","231","172","65","10","12","27","12","11","1","0","20","50","41","47","54","32","4","6","40.00"
"871","Clayton Keller","ARI","C","82","1495.2833333333","14","33","19","14","47","64.38","200","7.00","17.83","350","276","183","60","10","31","24","11","11","0","0","32","37","46","16","119","21","28","56","33.33"
"928","Nico Hischier","N.J","C","69","1249.1666666667","17","30","14","16","47","58.75","160","10.63","17.77","248","208","179","108","5","13","24","8","7","0","1","27","32","38","53","93","44","437","529","45.24"
"65","Travis Zajac","N.J","C","80","1541.6666666667","19","27","8","19","46","62.16","120","15.83","14.8","197","156","141","63","9","16","20","10","10","0","0","13","33","63","66","64","38","841","605","58.16"
"124","Jeff Petry","MTL","D","82","1894.6333333333","13","33","17","16","46","45.10","172","7.56","9.56","437","281","95","17","4","20","28","14","14","0","0","9","129","39","190","147","123","0","1","0.00"
"172","David Perron","STL","L","57","974.43333333333","23","23","13","10","46","79.31","112","20.54","9.86","204","150","129","40","6","11","46","22","22","0","0","11","17","41","52","66","13","15","18","45.45"
